verse_key,version_id,eng,local
MAT.1.17,2168,"So there were fourteen generations from Abraham to David, fourteen generations from David to the exile to Babylon, and fourteen generations from the exile to Babylon to the Christ.","Tɔ, nyini kere ka fiteeri Abraham fa ba juuri Fɛmɛ Davidi, bu tiiri nanam buru ni nna wɔ, na fiteeri Fɛmɛ Davidi fa ba juuri saŋga bo bu miɛɛri Yisareli­fɔm kɔɔri Babilɔniya asiɛn n su ni, bu tiiri nanam buru ni nna wɔ, na fiteeri nyini saŋga n fa ba juuri saŋga bo bu wuuri Kristo Tii­de­fɔ ni, bu gusu tiiri nanam buru ni nna wɔ."
MAT.1.18,2168,"This is how the birth of Jesus Christ took place. When Mary his mother was engaged to Joseph, before they were married, she became pregnant by the Holy Spirit.","Kabo bu wuuri Yesu Kristo n yaa. Bu yo faari i ni Mariya ceeri Yosefu wɔ, ama, kana bu ba ja i kɔ i hun n dika ni, na ba fa nu ka i bita nyinsɛ bo i fite Nyɛmɛ Awiɛwiɛ Casi n dɛɛ yiko nu wɔ."
MAT.1.19,2168,"Joseph her husband was a righteous man. Because he didnt want to humiliate her, he decided to call off their engagement quietly.","I hun Yosefu yo ti sɔnɔ bo i yo sa bo i kɔ atin su Nyɛmɛ dɔ ɔ, nyini ti, wɔ koro má ka i wura i yi n nyinsɛ jama nu, na wɔ fa sunsunni ka i yaki i asiri nu."
MAT.1.20,2168,"As he was thinking about this, an angel from the Lord appeared to him in a dream and said, Joseph son of David, dont be afraid to take Mary as your wife, because the child she carries was conceived by the Holy Spirit.","Saŋga bo i wo birisi su n sɔ ni, na Micɛra n dɛɛ mɛrɛkɛ aba i dɔ alɛlɛ nu, aba ase i ka, Fɛmɛ Davidi anuma Yosefu, má a soro sɛrɛ ka a ja Mariya, na a fa i kɔ u dika, dama Nyɛmɛ Awiɛwiɛ Casi ni maari i nyinsɛ n a."
MAT.1.21,2168,"She will give birth to a son, and you will call him Jesus, because he will save his people from their sins.","I wú baa­biɛsɔ na a fere i ka Yesu, i bu la ka Tii­de­fɔ, dama yiri bá yi i minɛm fite bu satiɛm nu a."
MAT.1.22,2168,Now all of this took place so that what the Lord had spoken through the prophet would be fulfilled.,"Tɔ, nyini n kɛrɛ yoori sɔ, adena i ma Nyɛmɛ nɔaniɛ kan­fɔ n nɔaniɛ n bá yo yii­wa, kabo wɔ jɔjɔ ka."
MAT.1.23,2168,"Look! A virgin will become pregnant and give birth to a son, And they will call him, Emmanuel.","Suŋguru bo wɔ nya si má biɛsɔ bá nyinsɛ, na i wú baa­biɛsɔ, na bu fére i ka Emanuwɛli , i bu la ka, Nyɛmɛ wo ya dɔ."
MAT.1.24,2168,"When Joseph woke up, he did just as an angel from God commanded and took Mary as his wife.","Saŋga bo Yosefu teŋgeeri ni, na wɔ yo kabo Micɛra n dɛɛ mɛrɛkɛ n seeri i ni, na wɔ fa Mariya aba i dika."
MAT.1.25,2168,But he didnt have sexual relations with her until she gave birth to a son. Joseph called him Jesus.,"Ama, i ni yiri asaŋga má bara ni biɛsɔ, haari Mariya ba wuuri baa­biɛsɔ, na Yosefu atun i duma ka Yesu."
MAT.16.1,2168,The Pharisees and Sadducees came to Jesus. In order to test him they asked him to show them a sign from heaven.,"Na Farasi­fɔm, ni Sadusi­fɔ nbem aba Yesu dɔ, na ba koro ka bu sɔ i ŋgɛɛ. Nyini ti, na ba se i ka i yo alekutura sa be bo i kere ka i yiko n fite Nyɛmɛ dɔ ɔ."
MAT.16.2,2168,"But he replied, At evening you say, It will be nice weather because the sky is bright red.","Na Yesu ase bu ka, Saŋga bo wiɛ nya ba sutɔ, na am ŋu ka aŋgoro n kɛrɛ ayo kɔkɔrɛ, a ti ka am ŋa, Ahunma dika ni bó, dama i ti kɔkɔrɛ wɔ."
MAT.16.3,2168,"And in the morning you say, There will be bad weather today because the sky is cloudy. You know how to make sense of the skys appearance. But you are unable to recognize the signs that point to what the time is.","Nzɛn ŋgarama fuun, na am ŋu ka aŋgoro asaŋga kɔkɔrɛ ni biri, a ti ka am ŋa, Nyuma nzue tɔ́. Am koro niɛ aŋgoro n na am si sa bo i bá yo, ama, am koro si má sam bo bu suyo jina n nu n yiri bu."
MAT.16.4,2168,An evil and unfaithful generation searches for a sign. But it wont receive any sign except Jonahs sign. Then he left them and went away.,"Ambɛrɛ nyuma­fɔ, satiɛ­yo­fɔm bo am su má Nyɛmɛ ni, ye am koro ka m yó alekutura sa be na am niɛ? Ai, m yó ma alekutura sa be na am ŋu i fieo, má ka alekutura sa n bo Nyɛmɛ yo yoori i maari Jona ŋgumi ni. I seeri sɔ wieeri ni, na wɔ yaki bu, na wɔ kɔ."
MAT.16.5,2168,"When the disciples arrived on the other side of the lake, they had forgotten to bring bread.","Saŋga bo Yesu susu­fɔm n kpiɛ kɔ juuri kunma kpiri n bue kun dɔ ni, na bu wara afi diire sa, ba bita má kpɔnɔ nu."
MAT.16.6,2168,"Jesus said to them, Watch out and be on your guard for the yeast of the Pharisees and Sadducees.","Na Yesu ase bu ka, Am si am ŋu sa ni Farasi­fɔm ni Sadusi­fɔm dɛɛ kpɔnɔ ayiri n bo bu fa gɔ kpɔnɔ nu na i yasu ni."
MAT.16.7,2168,"They discussed this among themselves and said, We didnt bring any bread.","Na ba se bu ŋuŋu nu ka, Ya bita má kpɔnɔ aba má n dɛɛ ti, ye i se sɔ n a."
MAT.16.8,2168,"Jesus knew what they were discussing and said, You people of weak faith! Why are you discussing among yourselves the fact that you dont have any bread?.","Na Yesu afa nu kabo i susu­fɔm n sujɔjɔ bu ŋuŋu nu ni, na wɔ se bu ka, Ambɛrɛ bo am yarada n ti kaan sɔ ni, nzu ti ye am sujɔjɔ am ŋuŋu nu ka am bita má kpɔnɔ a?."
MAT.16.9,2168,Dont you understand yet? Dont you remember the five loaves that fed the five thousand and how many baskets of leftovers you gathered?.,"Am nya ti má sa n bu, nzɛn sɛ? Am teŋge má su ka m yo faari kpɔnɔ nnu kpiɛkpiɛ maari minɛ akpii nnu? Ye bo i kaari ni, kandiɛ nyɛ ye am sasaari a?."
MAT.16.10,2168,And the seven loaves that fed the four thousand and how many large baskets of leftovers you gathered?.,Ye kpɔnɔ nso n bo m yo fa kpiɛkpiɛ maari minɛ akpii nna n di? Kandiɛ nyɛ ye am sasaari a?.
MAT.16.11,2168,Dont you know that I wasnt talking about bread? But be on your guard for the yeast of the Pharisees and Sadducees.,Ye nzu ti ye am si má ka m sujɔjɔ má kpɔnɔ jɔrɛ a? M ŋa am si am ŋu sa ni Farasi­fɔm ni Sadusi­fɔm dɛɛ kpɔnɔ ayiri n bo bu fa gɔ kpɔnɔ nu na i yasu ni.
MAT.16.12,2168,"Then they understood that he wasnt telling them to be on their guard for yeast used in making bread. No, he was telling them to watch out for the teaching of the Pharisees and Sadducees.","Na ba nya asi ka i suse má bu ka bu si bu ŋu sa ni Farasi­fɔm ni Sadusi­fɔm dɛɛ kpɔnɔ ayiri n wɔ, ama, i ŋa bu si bu ŋu sa fa kɔ bu keree­wa n dɛɛ atin su wɔ."
MAT.16.13,2168,"Now when Jesus came to the area of Caesarea Philippi, he asked his disciples, Who do people say the Human One is.","Saŋga bo Yesu fa ba juuri Sizariya Filipiya dɛɛ miɛ kan kanm su ni, na wɔ bisa i susu­fɔm ka, Minɛm fa mini Adamande Wa n bu ŋma a."
MAT.16.14,2168,"They replied, Some say John the Baptist, others Elijah, and still others Jeremiah or one of the other prophets.","Na ba bɔ i nu ka, Nbem ŋa wɔrɔ la Yohane Nyɛmɛ Nzue Biɛ­fɔ n a, nbem ŋa wɔrɔ la Nyɛmɛ nɔaniɛ kan­fɔ Eliya, nbem ŋa wɔrɔ la Nyɛmɛ nɔaniɛ kan­fɔ Jeremiya, ye nbem gusu ŋa a ti dawa dɛɛ Nyɛmɛ nɔaniɛ kan­fɔ nyiŋgam n kun wɔ."
MAT.16.15,2168,"He said, And what about you? Who do you say that I am.","Na wɔ nya abisa bu bekun ka, Ye ambɛrɛ fa m bu ŋma a."
MAT.16.16,2168,"Simon Peter said, You are the Christ, the Son of the living God.","Na Simon Petoro abɔ i nu ka, Wɔrɔ ti Kristo Tii­de­fɔ n a, Nyɛmɛ n bo i wo bɛrɛ saŋga kɛrɛ n dɛɛ Wa ni."
MAT.16.17,2168,"Then Jesus replied, Happy are you, Simon son of Jonah, because no human has shown this to you. Rather my Father who is in heaven has shown you.","Na Yesu ase i ka, Simon Jona wa, tere­fiɛ wo u dɔ. Dama má adamande yiiri ahin jɔrɛ n bu kereeri u ka a jɔjɔ a, ama, m Si Nyɛmɛ bo i wo aŋgoro ni yi kereeri u a."
MAT.16.18,2168,I tell you that you are Peter. And Ill build my church on this rock. The gates of the underworld wont be able to stand against it.,"Nyini ti, m suse u wɔ lɛɛ ka, wɔrɔ ti Petoro a, u duma bu la ka yabuɛ ni. Nyini yabuɛ n su ye m ma m jama minɛm kɛrɛ jina a, na yiwee mmɔɔ koro yo má bu pui."
MAT.16.19,2168,Ill give you the keys of the kingdom of heaven. Anything you fasten on earth will be fastened in heaven. Anything you loosen on earth will be loosened in heaven.,"M fá Nyɛmɛ fɛmɛya n anɔ kadombaam ma u, na deke kɛrɛ bo a ma minɛm atin ka bu yo i durunya n nu fɛn, i ti sɔ ɔ lɛɛ, Nyɛmɛ dɔ. Na deke kɛrɛ bo a ma má minɛm atin ka bu yo i durunya n nu fɛn, i kaaki ti sɔ ɔ lɛɛ, Nyɛmɛ dɔ."
MAT.7.1,2168,"Dont judge, so that you wont be judged.","Na Yesu ase bu ka, Má am jɔjɔ be jɔrɛ na am jaraki i, adena má Nyɛmɛ gusu jɔjɔ ambɛrɛ jɔrɛ jaraki am."
MAT.7.2,2168,Youll receive the same judgment you give. Whatever you deal out will be dealt out to you.,"Dama kabo am jɔjɔ am beŋgum jɔrɛ jaraki bu ni, sɔ ye Nyɛmɛ gusu jɔjɔ am gusu jɔrɛ jaraki am a. Gɔŋgɔ bo am fa susu ma minɛm ni, sɔ ye Nyɛmɛ gusu fá susu ma am a."
MAT.7.3,2168,"Why do you see the splinter thats in your brothers or sisters eye, but dont notice the log in your own eye?.","Nzu ti ye a niɛ ŋu wura mbaa n bo i wo u niwa nyu­mbaa nu, ye a niɛ ŋu má yeenzin n bo i wo u dɛɛ nyu­mbaa n nu a?."
MAT.16.20,2168,Then he ordered the disciples not to tell anybody that he was the Christ.,"Nyini sin, na Yesu abɔbɔ i susu­fɔm ni ka má bu ma be si ka yiri ti Kristo Tii­de­fɔ n a."
MAT.7.4,2168,"How can you say to your brother or sister, Let me take the splinter out of your eye, when theres a log in your eye?.","A yo sɛ koro se u niwa ka, Ma m yi wura mbaa n bo i wo u nyu­mbaa nu ni, ye saŋga kɛrɛ yeenzin n wo u dɛɛ nyu­mbaa n nu a?."
MAT.7.5,2168,"You deceive yourself! First take the log out of your eye, and then youll see clearly to take the splinter out of your brothers or sisters eye.","Wɔrɔ burukɔɔ­nu­fɔ ni, du mɔ yi yeenzin n bo i wo u nyu­mbaa nu n ka, na a nyá ŋu asi nyunyumi na a yi wura mbaa n bo i wo u niwa n dɛɛ nyu­mbaa nu ni."
MAT.16.21,2168,"From that time Jesus began to show his disciples that he had to go to Jerusalem and suffer many things from the elders, chief priests, and legal experts, and that he had to be killed and raised on the third day.","Fite nyini saŋga n fa kɔ, na Yesu abo i bu sukere i susu­fɔm n ka, Wɔ yo daka ka m kɔ Yɛrusalem na m kɔ di wahara dɔŋgu fite Yuda­fɔm nkpiɛn­kpiɛnm, ni Nyɛmɛ sa­yoo­wa dɔŋgu­yo­fɔ nkpiɛn­kpiɛnm, ni Nyɛmɛ nɔaniɛ kere­fɔm dɔ na bu kún m. Ama, na i le­san cɛɛn, na Nyɛmɛ má m teŋge m yiwee n nu."
MAT.14.1,2168,At that time Herod the ruler heard the news about Jesus.,"Nyini saŋga ni, na Fɛmɛ Herode ati Yesu ŋga."
MAT.14.2,2168,"He said to his servants, This is John the Baptist. Hes been raised from the dead. This is why these miraculous powers are at work through him.","Na wɔ se i nkpiɛn­kpiɛnm bo bu wo i nyunu n ka, Yohane Nyɛmɛ Nzue Biɛ­fɔ n lɛɛ, ye wɔ teŋge i yiwee n nu a, nyini ti ye i la yiko koro yo nyini alekutura sam kɛrɛ a."
MAT.16.22,2168,"Then Peter took hold of Jesus and, scolding him, began to correct him: God forbid, Lord! This wont happen to you.","Na Petoro afa i akɔ ahɛmɛ, na wɔ jaraki i ase i ka, M Mibiɛ, má a se ka a se sɔ, Nyɛmɛ yo u kisi ni nyini sa ni. Nyini koro yo má cɛɛn be da."
MAT.7.6,2168,"Dont give holy things to dogs, and dont throw your pearls in front of pigs. They will stomp on the pearls, then turn around and attack you.","Má am se ka am fa deke bo i ti casi fa ma caam, nzɛn am yoori sɔ, bu kpíe bu nyi fɔn tara am wɔ, na bu kán titi am nu. Sasu bekun, má am se ka am fa afere fofoem bo bu la gɔ agaya, fa tu afam. Má nyini, bu tíɛntiɛn i su wura fa nu wɔ."
MAT.7.7,2168,"Ask, and you will receive. Search, and you will find. Knock, and the door will be opened to you.","Na Yesu akaaki ase bu ka, Am sere deke bo am koro i Nyɛmɛ dɔ, na i má am. Am niɛniɛ deke bo am koro i dɔ, na am ŋú i. Am bobo anɔ ni, na i téke i ma am."
MAT.16.23,2168,"But he turned to Peter and said, Get behind me, Satan. You are a stone that could make me stumble, for you are not thinking Gods thoughts but human thoughts.","Na Yesu acɛ aniɛ Petoro na wɔ tiɛn i ŋu ase i ka, Sitana, fa cinsi m bi bɛrɛ. A sukanda m atin wɔ. A sunsun má kabo Nyɛmɛ sunsun ni. A sunsun kabo adamande sunsun n wɔ."
MAT.14.3,2168,"Herod had arrested John, bound him, and put him in prison because of Herodias, the wife of Herods brother Philip.","Fɛmɛ Herode yo ma bu taraari Yohane nyiiri i wɔ, dama yiri Fɛmɛ Herode yo fiinri i gɔrɔ Filipu yi Herodiya jaari wɔ."
MAT.7.8,2168,"For everyone who asks, receives. Whoever seeks, finds. And to everyone who knocks, the door is opened.","Dama sɔnɔ kɛrɛ bo i sere Nyɛmɛ deke be, i má i, na sɔnɔ kɛrɛ bo i niɛniɛ deke be, i ŋú i, na sɔnɔ kɛrɛ bo i bobo anɔ ni, i téke i ma i."
MAT.16.24,2168,"Then Jesus said to his disciples, All who want to come after me must sayno to themselves, take up their cross, and follow me.","Na Yesu ase i susu­fɔm n ka, Sɔnɔ kɛrɛ bo i koro ka i su m su, wɔ yo daka ka i mi wara fi i tiɛŋgu sa koroo­wa sa, na i fa i yiwee baka jaanu n sɔ, na i su m su."
MAT.14.4,2168,"Thats because John told Herod, Its against the law for you to marry her.","Má pui ti, Yohane yo seeri Fɛmɛ Herode ka, Nyɛmɛ nɔaniɛ kpamaa­wa n kere ka a la má atin ka a fa u gɔrɔ yi ja i ŋgɔɔ su."
MAT.7.9,2168,Who among you will give your children a stone when they ask for bread?.,"Ambɛrɛ nu, ŋma ye i wa sere i diire, ye i mi kéte na i fá yabuɛ ma i wa n a? Ai, be yo má sɔ."
MAT.14.5,2168,"Although Herod wanted to kill him, he feared the crowd because they thought John was a prophet.","Má Fɛmɛ Herode yo koroori ka i kun Yohane wɔ, ama, i soroori Yuda­fɔm jama n wɔ, dama ba se ka Yohane ti Nyɛmɛ nɔaniɛ kan­fɔ ɔ."
MAT.16.25,2168,All who want to save their lives will lose them. But all who lose their lives because of me will find them.,"Dama sɔnɔ kɛrɛ bo i koro ka i fa i ŋgɔɔ fiɛ, i mi bá fun i. Ama, sɔnɔ kɛrɛ bo i tɔɔri i ŋgɔɔ mini ni m labari kpa n dɛɛ ti, i mi nyá ŋgɔɔ."
MAT.7.10,2168,Or give them a snake when they ask for fish?.,"Wara, ambɛrɛ nu, ŋma ye i wa sere i jombaa ye i kéte na i fá woo ma i wa n a? Ai, be yo má sɔ."
MAT.14.6,2168,But at Herods birthday party Herodias daughter danced in front of the guests and thrilled Herod.,"Na Fɛmɛ Herode baa­wu cɛɛn­kpiri di cɛɛn, na Herodiya wa suŋguru agɔ agɔrɛ fɛmɛ ni i jama n kɛrɛ nyunu, na fɛmɛ n ahore ajɔ."
MAT.14.7,2168,Then he swore to give her anything she asked.,"Nyini ti, na wɔ tan ndiɛ ase suŋguru n ka, Deke kɛrɛ bo a koro, se m, na m má u."
MAT.14.8,2168,"At her mothers urging, the girl said, Give me the head of John the Baptist here on a plate.","Na suŋguru n ni ase i ka i kɔ se ka i koro Yohane Nyɛmɛ Nzue Biɛ­fɔ n tii­awa a. Na wɔ kɔ ase fɛmɛ n ka, M koro ka na a fa Yohane Nyɛmɛ Nzue Biɛ­fɔ n tii­awa ma m pɛrɛntɛ nu kisa kisa."
MAT.7.11,2168,"If you who are evil know how to give good gifts to your children, how much more will your heavenly Father give good things to those who ask him.","Tɔ, ambɛrɛ, haari ni bo am ti satiɛ­yo­fɔm ni, am si aceeri kpam bo am fá ce am nbaam, nzu ti ye nzɛn am sereeri am Si Nyɛmɛ bo i wo aŋgoro ni, i koro ma má am aceeri kpam a?."
MAT.12.1,2168,At that time Jesus went through the wheat fields on the Sabbath. His disciples were hungry so they were picking heads of wheat and eating them.,"Nyini saŋga n na Yesu ni i susu­fɔm ni sunati sin alɛ­mbaa fie be nu, Yuda­fɔm Ŋumi­yi cɛɛn ni. Na ahɔɛ ati i susu­fɔm ni, na ba bubu be akpɛsɛ."
MAT.16.26,2168,Why would people gain the whole world but lose their lives? What will people give in exchange for their lives?.,"Nzɛn sɔnɔ nyaari durunya n nu deke n kɛrɛ, na i fuunri i ŋgɔɔ, i kpɛrɛ la bɔnɔ? Nzu deke ye sɔnɔ fá kaaki i ŋgɔɔ a?."
MAT.16.27,2168,For the Human One is about to come with the majesty of his Father with his angels. And then he will repay each one for what that person has done.,"Dama mini Adamande Wa ni bá ba ni m Si Nyɛmɛ jirima woo­wa n nu, ni i mɛrɛkɛm ni, na m nyá tɔ sɔnɔ kɛrɛ kaari, kabo i juma, wara i sa­yoo­wa ti barasu."
MAT.7.12,2168,"Therefore, you should treat people in the same way that you want people to treat you; this is the Law and the Prophets.","Nyini ti, kabo am koro ka minɛm yó ma am ni, am yo i sɔ ma bu, dama Nyɛmɛ nɔaniɛ kpamaa­wa n jɔrɛ n kɛrɛ lɛɛ, na i nɔaniɛ kan­fɔm dɛɛ buka su."
MAT.12.2,2168,"When the Pharisees saw this, they said to him, Look, your disciples are breaking the Sabbath law.","Saŋga bo Farasi­fɔm ni ŋuuri nyini sɔ ni, na ba se Yesu ka, Niɛ fɛn. Kabo u susu­fɔm ni suyo ni, Nyɛmɛ nɔaniɛ kpamaa­wa n kere ka má be yo sɔ, Ŋumi­yi cɛɛn ni."
MAT.14.9,2168,"Although the king was upset, because of his solemn pledge and his guests he commanded that they give it to her.","Fɛmɛ n tiiri sɔ ni, na i ahore asaaki, ama, ndiɛ n bo i taanri i jama n nyunu n dɛɛ ti, wɔ koro akaaki má i nɔɔ. Na wɔ ma nɔɔ ka bu yo suŋguru n koroo­wa ma i."
MAT.16.28,2168,I assure you that some standing here wont die before they see the Human One coming in his kingdom.,"Nahɔrɛ ye m suse am n a, am nbem wo fɛn bo am wu má, má ka am aba aŋu ka mini Adamande Wa ni suba ka m bá niɛ m fɛmɛya n su."
MAT.7.13,2168,"Go in through the narrow gate. The gate that leads to destruction is broad and the road wide, so many people enter through it.","Na Yesu akaaki ase ka, Am fa anɔ n bo i ti fii n na am wura. Dama atin n bo i fa minɛm kɔ saakii­biri ni, i anɔ n ti tɛtɛrɛ wɔ, na i natiiri ti má kekere, nyini dɛɛ ti, minɛm dɔŋgu fa yiri wɔ."
MAT.12.3,2168,"But he said to them, Havent you read what David did when he and those with him were hungry?.","Na wɔ se bu ka, Am nya kan má Nyɛmɛ Jɔrɛ Kadasi n nu, kabo Fɛmɛ Davidi yo yoori saŋga bo ahɔɛ tiiri i ni i minɛm na ba si má kabo bu yo ni, nzɛn sɛ?."
MAT.14.10,2168,Then he had John beheaded in prison.,"Nyini ti, na wɔ ma bu akɔ akpiɛ Yohane tii dan­saraka sɔɔ n nu dɔ."
MAT.14.11,2168,"They brought his head on a plate and gave it to the young woman, and she brought it to her mother.","Na ba fa i tii­awa n ada pɛrɛntɛ n nu, aba ama suŋguru ni, na yiri gusu afa akɔ ama i ni."
MAT.7.14,2168,"But the gate that leads to life is narrow and the road difficult, so few people find it.","Ama, atin n bo i fa minɛm kɔ ŋgɔɔ woo­biri ni, i anɔ n ti fii wɔ, na i atin gusu nati ti kekereke, nyini dɛɛ ti, minɛm bo bu ŋu nyini atin n na bu su i su ni, bu sunnu má."
MAT.7.15,2168,"Watch out for false prophets. They come to you dressed like sheep, but inside they are vicious wolves.","Na Yesu akaaki ase ka, Am si am ŋu sa ni kɔrɛ­fɔm bo bu yo bu ŋu ka bu ti Nyɛmɛ nɔaniɛ kan­fɔm ni. Bu yo bu ŋu bɛnlɛ ka nbɔɛm wɔ, ama, bu ti ka bedim wɔ, na bu ti tiɛ."
MAT.7.16,2168,"You will know them by their fruit. Do people get bunches of grapes from thorny weeds, or do they get figs from thistles?.","Bu sa­yoo­wa n nu, ye am koro fa si kabo bu ti barasu a. Am aŋu ka buwe asu koto? Wara, am aŋu ka bedikantoŋga asu ndɔrɔwa? Ai."
MAT.12.4,2168,"He went into Gods house and broke the law by eating the bread of the presence, which only the priests were allowed to eat.","Ahɔɛ n ti, na wɔ kɔ awura Nyɛmɛ Seree­biri Awuru n nu, na wɔ di kpɔnɔ n bo ba fa ama Nyɛmɛ ni, na wɔ ma i minɛm ni be. Ama, am si ka ya dɛɛ atin n su, Nyɛmɛ sa­yoo­wa dɔŋgu­yo­fɔm ŋgumi ti ye ni ka bu di nyini kpɔnɔ n a."
MAT.14.12,2168,But Johns disciples came and took his body and buried it. Then they went and told Jesus what had happened.,"Na Yohane susu­fɔm n aba afa fuin n akɔ ase i, na ba kɔ ama Yesu labari."
MAT.14.13,2168,"When Jesus heard about John, he withdrew in a boat to a deserted place by himself. When the crowds learned this, they followed him on foot from the cities.","Yesu tiiri Yohane n jɔrɛ labari n sɔ ni, na wɔ fa lee akɔ deke bo minɛ n wo má, i ni i susu­fɔm ŋgumi. Minɛm tiiri sɔ ni, na ba fite miɛ miɛm su anati bu jaa su, asa i su."
MAT.14.14,2168,"When Jesus arrived and saw a large crowd, he had compassion for them and healed those who were sick.","Saŋga bo Yesu kɔ fiteeri lee n nu ni, na wɔ ŋu jama beberebe, na wɔ si bu aŋunfɔ, na wɔ ma tukpaki­fɔm bo bu woori dɔ n anya laifiɛ."
MAT.7.17,2168,"In the same way, every good tree produces good fruit, and every rotten tree produces bad fruit.","Ama, i ti sɔ ɔ lɛɛ, ka baka kpa kɛrɛ su suu­wa kpa a, na baka ŋgbɛɛn kɛrɛ su suu­wa ŋgbɛɛn­ŋgbɛɛn."
MAT.12.5,2168,Or havent you read in the Law that on the Sabbath the priests in the temple treat the Sabbath as any other day and are still innocent?.,"Sasu bekun, am nya kan má Nyɛmɛ Jɔrɛ Kadasi n nu, kabo Ŋumi­yi cɛɛn n kɛrɛ cɛɛn, na Nyɛmɛ sa­yoo­wa dɔŋgu­yo­fɔm ni saaki Ŋumi­yi cɛɛn n ciire ni, na bu yo bu yoo­wam Nyɛmɛ Seree­biri Awuru n nu, na be se má bu pui, nzɛn sɛ?."
